,Область,Округ,Год,Кол-во
77,        Амурская область,Дальневосточный федеральный округ,01.01.2016,54469.0
78,        Магаданская область,Дальневосточный федеральный округ,01.01.2016,12883.0
79,        Сахалинская область,Дальневосточный федеральный округ,01.01.2016,35916.0
80,        Еврейская автономная область,Дальневосточный федеральный округ,01.01.2016,3746.0
81,        Чукотский автономный округ,Дальневосточный федеральный округ,01.01.2016,1428.0
82,        Белгородская область,Центральный федеральный округ,01.04.2016,37416
83,        Брянская область,Центральный федеральный округ,01.04.2016,37204
84,        Владимирская область,Центральный федеральный округ,01.04.2016,138676
85,        Воронежская область,Центральный федеральный округ,01.04.2016,89968
86,        Ивановская область,Центральный федеральный округ,01.04.2016,66007
87,        Калужская область,Центральный федеральный округ,01.04.2016,107957
88,        Костромская область,Центральный федеральный округ,01.04.2016,30259
89,        Курская область,Центральный федеральный округ,01.04.2016,46374
90,        Липецкая область,Центральный федеральный округ,01.04.2016,21380
91,        Московская область,Центральный федеральный округ,01.04.2016,824754
92,        Орловская область,Центральный федеральный округ,01.04.2016,26110
93,        Рязанская область,Центральный федеральный округ,01.04.2016,69015
94,        Смоленская область,Центральный федеральный округ,01.04.2016,40732
95,        Тамбовская область,Центральный федеральный округ,01.04.2016,46660
96,        Тверская область,Центральный федеральный округ,01.04.2016,91176
97,        Тульская область,Центральный федеральный округ,01.04.2016,69339
98,        Ярославская область,Центральный федеральный округ,01.04.2016,169831
99,        Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,01.04.2016,925354
100,        Республика Карелия,Северо-Западный федеральный округ,01.04.2016,92634
101,        Республика Коми,Северо-Западный федеральный округ,01.04.2016,59692
102,        Архангельская область,Северо-Западный федеральный округ,01.04.2016,62978
103,        Вологодская область,Северо-Западный федеральный округ,01.04.2016,77469
104,        Калининградская область,Северо-Западный федеральный округ,01.04.2016,90081
105,        Ленинградская область,Северо-Западный федеральный округ,01.04.2016,179923
106,        Мурманская область,Северо-Западный федеральный округ,01.04.2016,58541
107,        Новгородская область,Северо-Западный федеральный округ,01.04.2016,102932
108,        Псковская область,Северо-Западный федеральный округ,01.04.2016,81975
109,        Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,01.04.2016,561614
110,        Республика Адыгея (Адыгея),Южный федеральный округ,01.04.2016,1102
111,        Республика Калмыкия,Южный федеральный округ,01.04.2016,4437
112,        Республика Крым,Южный федеральный округ,01.04.2016,401421
113,        Краснодарский край,Южный федеральный округ,01.04.2016,1146679
114,        Астраханская область,Южный федеральный округ,01.04.2016,65843
115,        Волгоградская область,Южный федеральный округ,01.04.2016,84986
116,        Ростовская область,Южный федеральный округ,01.04.2016,275775
117,        Город федерального значения Севастополь,Южный федеральный округ,01.04.2016,23878
118,        Республика Дагестан,Северо-Кавказский федеральный округ,01.04.2016,17664
119,        Республика Ингушетия,Северо-Кавказский федеральный округ,01.04.2016,236
120,        Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,01.04.2016,26113
121,        Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,01.04.2016,26871
122,        Республика Северная Осетия-Алания,Северо-Кавказский федеральный округ,01.04.2016,8922
123,        Чеченская Республика,Северо-Кавказский федеральный округ,01.04.2016,4826
124,        Ставропольский край,Северо-Кавказский федеральный округ,01.04.2016,214564
125,        Республика Башкортостан,Приволжский федеральный округ,01.04.2016,220202
126,        Республика Марий Эл,Приволжский федеральный округ,01.04.2016,26298
127,        Республика Мордовия,Приволжский федеральный округ,01.04.2016,21543
128,        Республика Татарстан (Татарстан),Приволжский федеральный округ,01.04.2016,438498
129,        Удмуртская Республика,Приволжский федеральный округ,01.04.2016,59901
130,        Чувашская Республика - Чувашия,Приволжский федеральный округ,01.04.2016,62434
131,        Пермский край,Приволжский федеральный округ,01.04.2016,166425
132,        Кировская область,Приволжский федеральный округ,01.04.2016,60079
133,        Нижегородская область,Приволжский федеральный округ,01.04.2016,279763
134,        Оренбургская область,Приволжский федеральный округ,01.04.2016,79268
135,        Пензенская область,Приволжский федеральный округ,01.04.2016,25296
136,        Самарская область,Приволжский федеральный округ,01.04.2016,118059
137,        Саратовская область,Приволжский федеральный округ,01.04.2016,68275
138,        Ульяновская область,Приволжский федеральный округ,01.04.2016,49902
139,        Курганская область,Уральский федеральный округ,01.04.2016,19168
140,        Свердловская область,Уральский федеральный округ,01.04.2016,301402
141,        Тюменская область,Уральский федеральный округ,01.04.2016,310718
142,        Челябинская область,Уральский федеральный округ,01.04.2016,186487
143,        Республика Алтай,Сибирский федеральный округ,01.04.2016,76355
144,        Республика Тыва,Сибирский федеральный округ,01.04.2016,5080
145,        Республика Хакасия,Сибирский федеральный округ,01.04.2016,30771
146,        Алтайский край,Сибирский федеральный округ,01.04.2016,141165
147,        Красноярский край,Сибирский федеральный округ,01.04.2016,155448
148,        Иркутская область,Сибирский федеральный округ,01.04.2016,158621
149,        Кемеровская область - Кузбасс,Сибирский федеральный округ,01.04.2016,115418
150,        Новосибирская область,Сибирский федеральный округ,01.04.2016,65728
151,        Омская область,Сибирский федеральный округ,01.04.2016,94177
152,        Томская область,Сибирский федеральный округ,01.04.2016,37798
153,        Республика Бурятия,Дальневосточный федеральный округ,01.04.2016,53321
154,        Забайкальский край,Дальневосточный федеральный округ,01.04.2016,22191
155,        Республика Саха (Якутия),Дальневосточный федеральный округ,01.04.2016,43804
156,        Камчатский край,Дальневосточный федеральный округ,01.04.2016,29497
157,        Приморский край,Дальневосточный федеральный округ,01.04.2016,208377
158,        Хабаровский край,Дальневосточный федеральный округ,01.04.2016,115210
159,        Амурская область,Дальневосточный федеральный округ,01.04.2016,30394
160,        Магаданская область,Дальневосточный федеральный округ,01.04.2016,9145
161,        Сахалинская область,Дальневосточный федеральный округ,01.04.2016,25742
162,        Еврейская автономная область,Дальневосточный федеральный округ,01.04.2016,5759
163,        Чукотский автономный округ,Дальневосточный федеральный округ,01.04.2016,2339
164,        Белгородская область,Центральный федеральный округ,01.07.2016,55344
165,        Брянская область,Центральный федеральный округ,01.07.2016,26594
166,        Владимирская область,Центральный федеральный округ,01.07.2016,160227
167,        Воронежская область,Центральный федеральный округ,01.07.2016,91314
168,        Ивановская область,Центральный федеральный округ,01.07.2016,68692
169,        Калужская область,Центральный федеральный округ,01.07.2016,104837
170,        Костромская область,Центральный федеральный округ,01.07.2016,36085
171,        Курская область,Центральный федеральный округ,01.07.2016,49022
172,        Липецкая область,Центральный федеральный округ,01.07.2016,30956
173,        Московская область,Центральный федеральный округ,01.07.2016,982562
174,        Орловская область,Центральный федеральный округ,01.07.2016,26667
175,        Рязанская область,Центральный федеральный округ,01.07.2016,75421
176,        Смоленская область,Центральный федеральный округ,01.07.2016,32980
177,        Тамбовская область,Центральный федеральный округ,01.07.2016,47668
178,        Тверская область,Центральный федеральный округ,01.07.2016,131380
179,        Тульская область,Центральный федеральный округ,01.07.2016,69775
180,        Ярославская область,Центральный федеральный округ,01.07.2016,222371
181,        Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,01.07.2016,989261
182,        Республика Карелия,Северо-Западный федеральный округ,01.07.2016,122256
183,        Республика Коми,Северо-Западный федеральный округ,01.07.2016,57349
184,        Архангельская область,Северо-Западный федеральный округ,01.07.2016,70605
185,        Вологодская область,Северо-Западный федеральный округ,01.07.2016,80747
186,        Калининградская область,Северо-Западный федеральный округ,01.07.2016,230842
187,        Ленинградская область,Северо-Западный федеральный округ,01.07.2016,154683
188,        Мурманская область,Северо-Западный федеральный округ,01.07.2016,65983
189,        Новгородская область,Северо-Западный федеральный округ,01.07.2016,117270
190,        Псковская область,Северо-Западный федеральный округ,01.07.2016,86866
191,        Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,01.07.2016,558755
192,        Республика Адыгея (Адыгея),Южный федеральный округ,01.07.2016,1119
193,        Республика Калмыкия,Южный федеральный округ,01.07.2016,2611
194,        Республика Крым,Южный федеральный округ,01.07.2016,609605
195,        Краснодарский край,Южный федеральный округ,01.07.2016,2126645
196,        Астраханская область,Южный федеральный округ,01.07.2016,80138
197,        Волгоградская область,Южный федеральный округ,01.07.2016,162231
198,        Ростовская область,Южный федеральный округ,01.07.2016,298750
199,        Город федерального значения Севастополь,Южный федеральный округ,01.07.2016,19691
200,        Республика Дагестан,Северо-Кавказский федеральный округ,01.07.2016,20369
201,        Республика Ингушетия,Северо-Кавказский федеральный округ,01.07.2016,1012
