,Область,Округ,Год,Кол-во
101,        Республика Коми,Северо-Западный федеральный округ,2014,178117.0
102,        Архангельская область,Северо-Западный федеральный округ,2014,267464.0
103,        Вологодская область,Северо-Западный федеральный округ,2014,245110.0
104,        Калининградская область,Северо-Западный федеральный округ,2014,316951.0
105,        Ленинградская область,Северо-Западный федеральный округ,2014,342545.0
106,        Мурманская область,Северо-Западный федеральный округ,2014,177896.0
107,        Новгородская область,Северо-Западный федеральный округ,2014,271156.0
108,        Псковская область,Северо-Западный федеральный округ,2014,241853.0
109,        Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,2014,1940062.0
110,        Республика Адыгея (Адыгея),Южный федеральный округ,2014,45141.0
111,        Республика Калмыкия,Южный федеральный округ,2014,29971.0
112,        Республика Крым,Южный федеральный округ,2014,412769.0
113,        Краснодарский край,Южный федеральный округ,2014,3649006.0
114,        Астраханская область,Южный федеральный округ,2014,155208.0
115,        Волгоградская область,Южный федеральный округ,2014,291166.0
116,        Ростовская область,Южный федеральный округ,2014,638903.0
117,        Город федерального значения Севастополь,Южный федеральный округ,2014,29348.0
118,        Республика Дагестан,Северо-Кавказский федеральный округ,2014,69045.0
119,        Республика Ингушетия,Северо-Кавказский федеральный округ,2014,8503.0
120,        Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,2014,87515.0
121,        Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,2014,101571.0
122,        Республика Северная Осетия-Алания,Северо-Кавказский федеральный округ,2014,43268.0
123,        Чеченская Республика,Северо-Кавказский федеральный округ,2014,33772.0
124,        Ставропольский край,Северо-Кавказский федеральный округ,2014,803073.0
125,        Республика Башкортостан,Приволжский федеральный округ,2014,808038.0
126,        Республика Марий Эл,Приволжский федеральный округ,2014,88486.0
127,        Республика Мордовия,Приволжский федеральный округ,2014,95001.0
128,        Республика Татарстан (Татарстан),Приволжский федеральный округ,2014,1256589.0
129,        Удмуртская Республика,Приволжский федеральный округ,2014,254353.0
130,        Чувашская Республика - Чувашия,Приволжский федеральный округ,2014,193239.0
131,        Пермский край,Приволжский федеральный округ,2014,435955.0
132,        Кировская область,Приволжский федеральный округ,2014,204661.0
133,        Нижегородская область,Приволжский федеральный округ,2014,766299.0
134,        Оренбургская область,Приволжский федеральный округ,2014,320941.0
135,        Пензенская область,Приволжский федеральный округ,2014,141116.0
136,        Самарская область,Приволжский федеральный округ,2014,584977.0
137,        Саратовская область,Приволжский федеральный округ,2014,303813.0
138,        Ульяновская область,Приволжский федеральный округ,2014,253636.0
139,        Курганская область,Уральский федеральный округ,2014,118438.0
140,        Свердловская область,Уральский федеральный округ,2014,981899.0
141,        Тюменская область,Уральский федеральный округ,2014,949882.0
142,        Челябинская область,Уральский федеральный округ,2014,734169.0
143,        Республика Алтай,Сибирский федеральный округ,2014,84782.0
144,        Республика Тыва,Сибирский федеральный округ,2014,42334.0
145,        Республика Хакасия,Сибирский федеральный округ,2014,106046.0
146,        Алтайский край,Сибирский федеральный округ,2014,468961.0
147,        Красноярский край,Сибирский федеральный округ,2014,480086.0
148,        Иркутская область,Сибирский федеральный округ,2014,514209.0
149,        Кемеровская область - Кузбасс,Сибирский федеральный округ,2014,286467.0
150,        Новосибирская область,Сибирский федеральный округ,2014,547620.0
151,        Омская область,Сибирский федеральный округ,2014,372114.0
152,        Томская область,Сибирский федеральный округ,2014,124539.0
153,        Республика Бурятия,Дальневосточный федеральный округ,2014,279058.0
154,        Забайкальский край,Дальневосточный федеральный округ,2014,213591.0
155,        Республика Саха (Якутия),Дальневосточный федеральный округ,2014,138455.0
156,        Камчатский край,Дальневосточный федеральный округ,2014,72966.0
157,        Приморский край,Дальневосточный федеральный округ,2014,488305.0
158,        Хабаровский край,Дальневосточный федеральный округ,2014,377369.0
159,        Амурская область,Дальневосточный федеральный округ,2014,240721.0
160,        Магаданская область,Дальневосточный федеральный округ,2014,49493.0
161,        Сахалинская область,Дальневосточный федеральный округ,2014,121254.0
162,        Еврейская автономная область,Дальневосточный федеральный округ,2014,21247.0
163,        Чукотский автономный округ,Дальневосточный федеральный округ,2014,9099.0
164,        Белгородская область,Центральный федеральный округ,2015,151471.0
165,        Брянская область,Центральный федеральный округ,2015,139264.0
166,        Владимирская область,Центральный федеральный округ,2015,535697.0
167,        Воронежская область,Центральный федеральный округ,2015,497173.0
168,        Ивановская область,Центральный федеральный округ,2015,222268.0
169,        Калужская область,Центральный федеральный округ,2015,490608.0
170,        Костромская область,Центральный федеральный округ,2015,147013.0
171,        Курская область,Центральный федеральный округ,2015,187121.0
172,        Липецкая область,Центральный федеральный округ,2015,145296.0
173,        Московская область,Центральный федеральный округ,2015,3704624.0
174,        Орловская область,Центральный федеральный округ,2015,103077.0
175,        Рязанская область,Центральный федеральный округ,2015,248128.0
176,        Смоленская область,Центральный федеральный округ,2015,169199.0
177,        Тамбовская область,Центральный федеральный округ,2015,166698.0
178,        Тверская область,Центральный федеральный округ,2015,352042.0
179,        Тульская область,Центральный федеральный округ,2015,250961.0
180,        Ярославская область,Центральный федеральный округ,2015,633984.0
181,        Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,2015,3776752.0
182,        Республика Карелия,Северо-Западный федеральный округ,2015,363728.0
183,        Республика Коми,Северо-Западный федеральный округ,2015,267678.0
184,        Архангельская область,Северо-Западный федеральный округ,2015,345218.0
185,        Вологодская область,Северо-Западный федеральный округ,2015,397641.0
186,        Калининградская область,Северо-Западный федеральный округ,2015,472314.0
187,        Ленинградская область,Северо-Западный федеральный округ,2015,585363.0
188,        Мурманская область,Северо-Западный федеральный округ,2015,199619.0
189,        Новгородская область,Северо-Западный федеральный округ,2015,317676.0
190,        Псковская область,Северо-Западный федеральный округ,2015,342136.0
191,        Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,2015,2123762.0
192,        Республика Адыгея (Адыгея),Южный федеральный округ,2015,80940.0
193,        Республика Калмыкия,Южный федеральный округ,2015,36985.0
194,        Республика Крым,Южный федеральный округ,2015,1535144.0
195,        Краснодарский край,Южный федеральный округ,2015,5233471.0
196,        Астраханская область,Южный федеральный округ,2015,191342.0
197,        Волгоградская область,Южный федеральный округ,2015,482816.0
198,        Ростовская область,Южный федеральный округ,2015,821281.0
199,        Город федерального значения Севастополь,Южный федеральный округ,2015,289980.0
200,        Республика Дагестан,Северо-Кавказский федеральный округ,2015,127974.0
201,        Республика Ингушетия,Северо-Кавказский федеральный округ,2015,3095.0
202,        Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,2015,101242.0
203,        Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,2015,189108.0
204,        Республика Северная Осетия-Алания,Северо-Кавказский федеральный округ,2015,48216.0
205,        Чеченская Республика,Северо-Кавказский федеральный округ,2015,29427.0
206,        Ставропольский край,Северо-Кавказский федеральный округ,2015,804135.0
207,        Республика Башкортостан,Приволжский федеральный округ,2015,843985.0
208,        Республика Марий Эл,Приволжский федеральный округ,2015,109511.0
209,        Республика Мордовия,Приволжский федеральный округ,2015,98683.0
210,        Республика Татарстан (Татарстан),Приволжский федеральный округ,2015,1680475.0
211,        Удмуртская Республика,Приволжский федеральный округ,2015,258995.0
212,        Чувашская Республика - Чувашия,Приволжский федеральный округ,2015,231376.0
213,        Пермский край,Приволжский федеральный округ,2015,614237.0
214,        Кировская область,Приволжский федеральный округ,2015,244637.0
215,        Нижегородская область,Приволжский федеральный округ,2015,1047010.0
216,        Оренбургская область,Приволжский федеральный округ,2015,357550.0
217,        Пензенская область,Приволжский федеральный округ,2015,132274.0
218,        Самарская область,Приволжский федеральный округ,2015,621605.0
219,        Саратовская область,Приволжский федеральный округ,2015,321642.0
220,        Ульяновская область,Приволжский федеральный округ,2015,215088.0
221,        Курганская область,Уральский федеральный округ,2015,145694.0
222,        Свердловская область,Уральский федеральный округ,2015,1079998.0
223,        Тюменская область,Уральский федеральный округ,2015,1028870.0
224,        Челябинская область,Уральский федеральный округ,2015,800018.0
225,        Республика Алтай,Сибирский федеральный округ,2015,179084.0
226,        Республика Тыва,Сибирский федеральный округ,2015,34357.0
227,        Республика Хакасия,Сибирский федеральный округ,2015,153783.0
228,        Алтайский край,Сибирский федеральный округ,2015,632491.0
229,        Красноярский край,Сибирский федеральный округ,2015,586100.0
230,        Иркутская область,Сибирский федеральный округ,2015,848572.0
231,        Кемеровская область - Кузбасс,Сибирский федеральный округ,2015,476931.0
232,        Новосибирская область,Сибирский федеральный округ,2015,527659.0
233,        Омская область,Сибирский федеральный округ,2015,460334.0
234,        Томская область,Сибирский федеральный округ,2015,108208.0
235,        Республика Бурятия,Дальневосточный федеральный округ,2015,286285.0
236,        Забайкальский край,Дальневосточный федеральный округ,2015,191154.0
237,        Республика Саха (Якутия),Дальневосточный федеральный округ,2015,184429.0
238,        Камчатский край,Дальневосточный федеральный округ,2015,119869.0
239,        Приморский край,Дальневосточный федеральный округ,2015,813511.0
240,        Хабаровский край,Дальневосточный федеральный округ,2015,458768.0
241,        Амурская область,Дальневосточный федеральный округ,2015,217340.0
242,        Магаданская область,Дальневосточный федеральный округ,2015,62495.0
243,        Сахалинская область,Дальневосточный федеральный округ,2015,133877.0
244,        Еврейская автономная область,Дальневосточный федеральный округ,2015,29013.0
245,        Чукотский автономный округ,Дальневосточный федеральный округ,2015,9323.0
246,        Белгородская область,Центральный федеральный округ,2016,233033.0
247,        Брянская область,Центральный федеральный округ,2016,170861.0
248,        Владимирская область,Центральный федеральный округ,2016,573172.0
249,        Воронежская область,Центральный федеральный округ,2016,582147.0
250,        Ивановская область,Центральный федеральный округ,2016,221842.0
251,        Калужская область,Центральный федеральный округ,2016,434028.0
252,        Костромская область,Центральный федеральный округ,2016,238057.0
253,        Курская область,Центральный федеральный округ,2016,194613.0
254,        Липецкая область,Центральный федеральный округ,2016,172367.0
255,        Московская область,Центральный федеральный округ,2016,3261347.0
256,        Орловская область,Центральный федеральный округ,2016,106027.0
257,        Рязанская область,Центральный федеральный округ,2016,331050.0
258,        Смоленская область,Центральный федеральный округ,2016,201208.0
259,        Тамбовская область,Центральный федеральный округ,2016,137625.0
260,        Тверская область,Центральный федеральный округ,2016,409095.0
261,        Тульская область,Центральный федеральный округ,2016,297209.0
262,        Ярославская область,Центральный федеральный округ,2016,621574.0
263,        Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,2016,7043836.0
264,        Республика Карелия,Северо-Западный федеральный округ,2016,379400.0
265,        Республика Коми,Северо-Западный федеральный округ,2016,208080.0
266,        Архангельская область,Северо-Западный федеральный округ,2016,274946.0
267,        Вологодская область,Северо-Западный федеральный округ,2016,373975.0
268,        Калининградская область,Северо-Западный федеральный округ,2016,461203.0
269,        Ленинградская область,Северо-Западный федеральный округ,2016,602858.0
270,        Мурманская область,Северо-Западный федеральный округ,2016,214088.0
271,        Новгородская область,Северо-Западный федеральный округ,2016,281325.0
272,        Псковская область,Северо-Западный федеральный округ,2016,317753.0
273,        Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,2016,2498059.0
274,        Республика Адыгея (Адыгея),Южный федеральный округ,2016,90657.0
275,        Республика Калмыкия,Южный федеральный округ,2016,30713.0
276,        Республика Крым,Южный федеральный округ,2016,1624852.0
277,        Краснодарский край,Южный федеральный округ,2016,5662608.0
278,        Астраханская область,Южный федеральный округ,2016,247334.0
279,        Волгоградская область,Южный федеральный округ,2016,556985.0
280,        Ростовская область,Южный федеральный округ,2016,869140.0
281,        Город федерального значения Севастополь,Южный федеральный округ,2016,122475.0
282,        Республика Дагестан,Северо-Кавказский федеральный округ,2016,138322.0
283,        Республика Ингушетия,Северо-Кавказский федеральный округ,2016,2590.0
284,        Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,2016,104597.0
285,        Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,2016,113709.0
286,        Республика Северная Осетия-Алания,Северо-Кавказский федеральный округ,2016,40909.0
287,        Чеченская Республика,Северо-Кавказский федеральный округ,2016,30574.0
288,        Ставропольский край,Северо-Кавказский федеральный округ,2016,937818.0
289,        Республика Башкортостан,Приволжский федеральный округ,2016,988686.0
290,        Республика Марий Эл,Приволжский федеральный округ,2016,123635.0
291,        Республика Мордовия,Приволжский федеральный округ,2016,99537.0
292,        Республика Татарстан (Татарстан),Приволжский федеральный округ,2016,1796459.0
293,        Удмуртская Республика,Приволжский федеральный округ,2016,263309.0
294,        Чувашская Республика - Чувашия,Приволжский федеральный округ,2016,262471.0
